id,body,picture,actor,time,likes,dislikes,class,length
0,A bizarre discovery in Antarctica,Science/science_7.mp4,unveiled,,,,Science,50.387302
1,Science water experiments that really work,Science/science_8.mp4,5minutemagic,,,,Science,58.282086
2,This gator's got game.,Science/science_9.mp4,NatGeo,,,,Science,28.281905
,,,,,,,,
3,Eating Snow will kill you! Survival Hacks inside,Education/education_7.mp4,AustrianKnifeGuy,,,,Education,26.726168
4,Swallowing down the wrong pipes,Education/education_8.mp4,zackdfilms,,,,Education,31.439819
5,3 ways to choose a sunscreen,Education/education_9.mp4,teded,,,,Education,58.909025
,,,,,,,,
6,"How to fold pants, T-shirts, and boxers",Lifestyle/lifestyle_7.mp4,effectivespaces,,,,Lifestyle,21.942857
7,I’m a dietitian and here is my healthy grocery haul,Lifestyle/lifestyle_8.mp4,momnutritionist,,,,Lifestyle,57.74802
8,How to organize pots and pans,Lifestyle/lifestyle_9.mp4,effectivespaces,,,,Lifestyle,13.815873
